Version,2.0.0,,,,,,,
lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
eng,a1306s,a1306s delta-variant gene target,a1306s delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,a1918v,a1918v delta-variant gene target,a1918v delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,a2710t,a2710t omicron-variant gene target,a2710t omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,a63t,a63t omicron-variant gene target,a63t omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,a67v,a67v omicron-variant gene target,a67v omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aas,Atline Analyzer,Atline analyzer with sampler.,An atline analyzer with sampler.,1.0.0,2.0.0,"description wording, structure",
eng,absHum,Absolute humidity,A measure of the total mass of water vapour present in the air per volume of air.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,absHumidUnitSet,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,academ,Academic institution,The category of organization type used for academic institutions or research groups.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,acti,Number of active cases,Number of active cases.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,active,Active,Indicator that a part is in current use.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aDate,Analysis date,Date the measurement was performed in the lab.,NA,1.0.0,2.0.0,Github Issue #211,
eng,aDateEnd,Analysis date end,Date the measurement or analysis was completed.,NA,1.0.0,2.0.0,Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211,
eng,aDateStart,Analysis date start,Date the measurement or analysis was started.,NA,1.0.0,2.0.0,NA,
eng,addL1,Address Line 1,"Line 1 (the street name, number and direction) for a given address.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,addL2,Address Line 2,Line 2 (the unit number) for a given address.,NA,2.0.0,2.0.0,added in V2.0.0,
