Version,2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample shed,,,,Site Type Set,,,,Collection Type Set,,,,Boolean Set,,,,Fraction analyzed,,,,Sample material (sample type),,,,PCR Method Set,,,,Target Type Set,,,,Target Set,,,,Genetic Unit Set,,,,Genetic Aggregation Set,,,,,,
partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,partID,label,partDesc,,,,
airpln,Airplane,Airplane sample shed category type,,bSwrPpl,Branch sewer pipleline,"Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.",,areaPr,Area proportional sample,An area proportional sample.,,TRUE,TRUE,Boolean data type = TRUE,,liq,Liquid fraction,Liquid fraction of a sample.,,afu,Air filter,Air filter as part of filtration or circulating unit. ,,bioRadDdpcr,Digital droplet emulsification PCR,Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.,,sarsCov2,SARS-CoV-2,A group of measures/methods related to the SARS-CoV-2 virus.,,flu,Influenza virus measure,General influenza virus measure,,boc,Breadth of coverage (>=5x depth),Positions with read depth greater or equal to 5.,,pmFloMean,PMMoV- and flow-normalized mean,Mean measure normalized to amount of PMMoV and wastewater flow.,,,,
ccc,Long-term acute care hospital,"Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days.",,buildCO,Building cleanout,Specifies a site type that is a capped pipe that connects to a building's main sewer line.,,cosca,COSCa ball,COSCa passive sampling device.,,FALSE,FALSE,Boolean data type = FALSE,,mix,Mixed/homogenized sample,Mixed or homogenized sample or fraction analyzed.,,desk,Desk or counter,"Desk, table, countertop or other flat working surface.",,fluiDpcr,Fluidigm digital PCR,Describes a PCR analysis done using FluidIGM's digital PCR technology.,,fluAGrp,Influenza A Virus Group,A group of measures/methods related to Influenza A viruses.,,fluA1,Influenza virus A1,Influenza virus A1 type,,doc,Depth of coverage,The sequencing read depth.,,pmmovNorm,PMMoV-normalized mean,Mean measure normalized to amount of PMMoV.,,,,
cdc,Child day care,Child day care facility.,,estuary,"Estuary, natural water body","Estuary, natural water body",,flowPr,Flow proportional sample,A flow proportional composite sample generally collected by an autosampler.,,,,,,sol,Solid fraction,Solid fraction of a sample.,,faeces,Fecal matter,Fecal matter.,,ltDpcr,Life technologies digital PCR,Describes a PCR analysis done using Life Technologies' digital PCR technology.,,fluBGrp,Influenza B Virus Group,A group of measures/methods related to Influenza B viruses.,,fluA2,influenza virus A2,influenza virus A2 type,,det,Detected,Substance detected or not detected.,,upperCI95,Upper limit of a 95% confidence interval,Specifies the the upper limit of a 95% confidence interval.,,,,
corFcil,Correctional facility,Correctional facility,,lake,"Lake,  natural water body","Lake, natural water body",,grb,Grab sample,A single large representative grab sample.,,,,,,NA,Not applicable,The field for which the expected value is not a property of the described object.,,floor,Floor,Floor of a building or room.,,qgDpcr,qiagen digital PCR,Describes a PCR analysis done using Qiagen's digital PCR technology.,,omicronGrp,SARS-CoV-2 Omicron Variant Group,A group of measures/methods related to the SARS-CoV-2 Omicron Variant.,,fluB,Influenza virus B,Influenza virus B type,,gcL,Gene copies per L,Gene or variant copies per litre.,,sdn,Normalized standard deviation,"Standard deviation, normalized.",,,,
dorm,Higher education domitory or residential building,Higher education domitory or residential building,,htSite,Holding tank,Holding tank,,moorSw,Moore swab passive sample,Moore swab passive sample.,,,,,,,,,,htSam,Holding tank wastewater,"Wastewater sampled from a holding tank, such as from an airplane or ship",,qpcr,Quantitative PCR,"Real-time PCR, also called 'quantAggScale' PCR",,deltaGrp,SARS-CoV-2 Delta Variant Group,A group of measures/methods related to the SARS-CoV-2 Delta Variant.,,n,N sars-cov-2 gene target,N sars-cov-2 gene target,,percRec,Percent recovery,Percent of the surrogate recovery for a recovery efficiency control assay.,,menr,Normalized arithmetic mean,"Arithmetic mean, normalized.",,,,
fiNa,First Nation,"Used to categorize a sampleshed that is a First Nation, or on reserve lands.",,lagoon,Lagoon system,Logoon system for extensive wastewater treatment,,surfSw,Surface swab,Surface swab.,,,,,,,,,,nww,Water,"Non-wastewater, coming from any kind of water body",,rainDpcr,Raindance digital PCR,Describes a PCR analysis done using Raindance's digital PCR technology.,,flirtSLipGrp,FLiRT/SLip Variant Group,The group for measures and methods pertaining to the FLiRT and SLip variants of SARS-CoV-2.,,n1n2,Combined N1 and N2 sars-cov-2 gene target,Combined N1 and N2 sars-cov-2 gene target,,prop,Proportion of total,Proportion as a precent of total.,,lowerCI95,Lower limit of a 95% confidence interval,Specifies the the lower limit of a 95% confidence interval.,,,,
hosptl,Hospital,Hospital,,mSwrPpl,Major sewer pipeline,Major sewer pipeline,,timePr,Time proportional sample,A time proportional composite sample generally collected by an autosampler.,,,,,,,,,,pEfflu,Primary clarifier effluent,Effluent obtained after primary clarifiers,,sinProbeOne,"Singleplex, probe-based, one-step RT-qPCR","Describes a PCR method that is singleplex, probe-based, and one-step RT-qPCR.",,,,,,n211i,n211i omicron-variant gene target,n211i omicron-variant gene target,,propV,Proportion of variant in sample,Proportion of a variant as percent of total variants.,,floMean,Flow-normalized mean,Mean measure normalized to wastewater flow.,,,,
ltcf,Long-term care facility,A residential healthcare facility that provides 24-medical care. These are also called skilled nursing facilities.,,ocean,"Ocean, natural water body","Ocean, natural water body",,volPr,Volume proportional sample,A volume proportional sample generally collected by an autosampler.,,,,,,,,,,pSludge,Primary clarifier sludge,Sludge produced by primary clarifiers,,dpcr,Digital PCR (dPCR),Describes a PCR analysis done using digital PCR technology (general).,,,,,,n679k,n679k omicron-variant gene target,n679k omicron-variant gene target,,gcCrA,Gene copies per copy of crAssphage,Gene or variant copies per copy of crAssphage.,,maxVal,Maximum value,Highest value in a range of values for a measure.,,,,
ltcfAl,Long-term care - assisted living or retirement home,A residential facility that provides assistance with daily care but generally does not provide skilled nursing care. ,,pStat,Pumping station,Pumping station,,comp,Composite sample - archival,"A composite sample, usually generated by an autosampler.",,,,,,,,,,pstGrit,Post-grit,Raw wastewater after a treatment plant's headworks (post grit or removal of large solids at a treatment plant but priort to a primary clarifier),,ddpcr,Digital Droplet PCR (ddPCR),Describes a PCR analysis done using digital droplet PCR technology (general).,,,,,,n856k,n856k omicron-variant gene target,n856k omicron-variant gene target,,gcD100,"gene copies per day per 100,000","The unit for measures reflecting the gene copies per day per 100,000 people in the population.",,me,Arithmetic mean,Arithmetic mean.,,,,
ltcfO,Other long-term care,"Other residential facilities that provide daily and/or medical care, but are not defined as nursing home/skilled nursing facilities or assisted living facilities. ",,retPond,Retention pond,Retention pond,,manComp,Manual Composite Sample,Specifies a composite sample where the sub-samples were collected manually.,,,,,,,,,,rawWW,Raw sewage at site,Wastewater without any form of treatment,,,,,,,,,,n969k,n969k omicron-variant gene target,n969k omicron-variant gene target,,gCGS,Gene copies per gram solids,Gene or variant copies per gram solids.,,med,Median,Median.,,,,
municp,Municipality,"A complete municipality, this specifies an entire metropolitan area, either a city, town, etc.",,river,"River, natural water body","River, natural water body",,passiveGen,Passive Sample - General,Used to specify a passive sampling method not otherwise specified was used to collect the sample.,,,,,,,,,,rawWWdown,Raw sewage downstream from a site,Downstream from a site. See partType = rawWWup.,,,,,,,,,,niid19,niid_2019-ncov_n sars-cov-2 gene target,niid_2019-ncov_n sars-cov-2 gene target,,gcMl,Gene copies per mL,Gene or variant copies per millilitre of solution.,,minVal,Minimum value,Lowest value in a range of values for a measure.,,,,
neigh,Neighbourhood,"A municipal neighbourhood, this specifies a sub-section of a larger municipality.",,sea,"Sea, natural water body","Sea, natural water body",,,,,,,,,,,,,,rawWWup,Raw sewage upstream from a site,"Upstream from a site. Used when there is not direct access to a site's wastewater inconjuctiion with downstream sample. For example, if the site is a long-term care home, but ther is not access to the building or property cleanout. Use two sameple, one sample upstream and one sample downstream.",,,,,,,,,,nSarbec,Sarbecovirus-specific N sars-cov-2 gene target,Sarbecovirus-specific N sars-cov-2 gene target,,gcPpmov,Gene copies per PMMoV copy,Gene or variant copies per copy of PMMoV.,,sd,Standard deviation,Standard deviation.,,,,
