Version,3.0.0,,,,,,,,,
setCompID,setID,setType,partID,label,enumeration,status,firstReleased,lastUpdated,changes,notes
absHumidUnitSet_gm3,absHumidUnitSet,unitSets,gm3,Gram per cubic metre,1,active,2.0.0,2.0.0,,
absHumidUnitSet_hUn,absHumidUnitSet,unitSets,hUn,See Header for Unit,2,active,3.0.0,3.0.0,,
actionTypeSet_threatDes,actionTypeSet,mmaSets,threatDes,Threat designation,1,active,3.0.0,3.0.0,,
actionTypeSet_phAdvise,actionTypeSet,mmaSets,phAdvise,Public health advisory,2,active,3.0.0,3.0.0,,
actionTypeSet_survAlert,actionTypeSet,mmaSets,survAlert,Surveillance alert,3,active,3.0.0,3.0.0,,
actionTypeSet_contMeasImp,actionTypeSet,mmaSets,contMeasImp,Control measure implementation,4,active,3.0.0,3.0.0,,
actionTypeSet_amrClass,actionTypeSet,mmaSets,amrClass,Antimicrobial resistance (AMR) classification,5,active,3.0.0,3.0.0,,
actionTypeSet_outb,actionTypeSet,mmaSets,outb,Outbreak declaration,6,active,3.0.0,3.0.0,,
airCompartmentSet_air,airCompartmentSet,compartmentSets,air,Air compartment,1,active,2.0.0,2.0.0,,
airportSheetSet_airportLists,airportSheetSet,dictSets,airportLists,Airport lists worksheet,1,active,2.0.0,2.0.0,,
airportSheetSet_airportTemplate,airportSheetSet,dictSets,airportTemplate,Airport Surveillance Template,2,active,2.0.0,2.0.0,,
airSurfaceCompartmentSet_air,airSurfaceCompartmentSet,compartmentSets,air,Air compartment,1,active,2.0.0,2.0.0,,
airSurfaceCompartmentSet_surf,airSurfaceCompartmentSet,compartmentSets,surf,Surface compartment,2,active,2.0.0,2.0.0,,
airWaterCompartmentSet_air,airWaterCompartmentSet,compartmentSets,air,Air compartment,1,active,2.0.0,2.0.0,,
alkalinitySet_meqL,alkalinitySet,unitSets,meqL,Milliequivalent per liter,1,active,3.0.0,3.0.0,,
alkalinitySet_mgL,alkalinitySet,unitSets,mgL,Milligrams per litre,2,active,3.0.0,3.0.0,,
alkalinitySet_ppm,alkalinitySet,unitSets,ppm,parts per million,3,active,3.0.0,3.0.0,,
alkalinitySet_hUn,alkalinitySet,unitSets,hUn,See Header for Unit,4,active,3.0.0,3.0.0,,
allActionsSet_outbEnd,allActionsSet,mmaSets,outbEnd,End of Outbreak,1,active,3.0.0,3.0.0,,
allActionsSet_outbOngoing,allActionsSet,mmaSets,outbOngoing,Outbreak - on-going,2,active,3.0.0,3.0.0,,
allActionsSet_outbStart,allActionsSet,mmaSets,outbStart,Declared outbreak or Outbreak start,3,active,3.0.0,3.0.0,,
allActionsSet_phEmerg,allActionsSet,mmaSets,phEmerg,Public health emergency (outbreak),4,active,3.0.0,3.0.0,,
allActionsSet_voc,allActionsSet,mmaSets,voc,Variant of concern,5,active,3.0.0,3.0.0,,
allActionsSet_voi,allActionsSet,mmaSets,voi,Variant of interest,6,active,3.0.0,3.0.0,,
allActionsSet_vum,allActionsSet,mmaSets,vum,variant under monitoring,7,active,3.0.0,3.0.0,,
allActionsSet_dev,allActionsSet,mmaSets,dev,De-escalated variant,8,active,3.0.0,3.0.0,,
allActionsSet_travWa,allActionsSet,mmaSets,travWa,Travel warning,9,active,3.0.0,3.0.0,,
allActionsSet_travBa,allActionsSet,mmaSets,travBa,Travel ban,10,active,3.0.0,3.0.0,,
allActionsSet_maskRec,allActionsSet,mmaSets,maskRec,Mask recommendation,11,active,3.0.0,3.0.0,,
allActionsSet_quarRec,allActionsSet,mmaSets,quarRec,Quarantine recommendation,12,active,3.0.0,3.0.0,,
allActionsSet_handHygAdv,allActionsSet,mmaSets,handHygAdv,Hand hygiene advisory,13,active,3.0.0,3.0.0,,
allActionsSet_targSurv,allActionsSet,mmaSets,targSurv,Targetted surveillance initiated,14,active,3.0.0,3.0.0,,
allActionsSet_incSurv,allActionsSet,mmaSets,incSurv,Increased surveillance,15,active,3.0.0,3.0.0,,
allActionsSet_routSurv,allActionsSet,mmaSets,routSurv,Routine surveillance,16,active,3.0.0,3.0.0,,
allActionsSet_decSurv,allActionsSet,mmaSets,decSurv,Decreased surveillance,17,active,3.0.0,3.0.0,,
allActionsSet_homeOrder,allActionsSet,mmaSets,homeOrder,Stay-at-home order,18,active,3.0.0,3.0.0,,
allActionsSet_borderClos,allActionsSet,mmaSets,borderClos,Border closure,19,active,3.0.0,3.0.0,,
allActionsSet_schoolClos,allActionsSet,mmaSets,schoolClos,School closure,20,active,3.0.0,3.0.0,,
allActionsSet_lockdown,allActionsSet,mmaSets,lockdown,Lockdown,21,active,3.0.0,3.0.0,,
allActionsSet_maskMand,allActionsSet,mmaSets,maskMand,Mask mandate,22,active,3.0.0,3.0.0,,
allActionsSet_socialDist,allActionsSet,mmaSets,socialDist,Social distancing measures,23,active,3.0.0,3.0.0,,
allActionsSet_cpp,allActionsSet,mmaSets,cpp,Critical priority pathogen,24,active,3.0.0,3.0.0,,
allActionsSet_hpp,allActionsSet,mmaSets,hpp,High priority pathogen,25,active,3.0.0,3.0.0,,
allActionsSet_mpp,allActionsSet,mmaSets,mpp,Medium priority pathogen,26,active,3.0.0,3.0.0,,
allActionsSet_rsi,allActionsSet,mmaSets,rsi,Resistant strain identified,27,active,3.0.0,3.0.0,,
allActionsSet_vaxSched,allActionsSet,mmaSets,vaxSched,Change to Vaccine Schedule,28,active,3.0.0,3.0.0,,
alleleUnitSet_ct,alleleUnitSet,unitSets,ct,Cycle threshold or quantification cycle (Ct or Cq),1,active,2.0.0,2.0.0,,
alleleUnitSet_doc,alleleUnitSet,unitSets,doc,Depth of coverage,2,active,2.0.0,2.0.0,,
alleleUnitSet_gcCrA,alleleUnitSet,unitSets,gcCrA,Gene copies per copy of crAssphage,3,active,2.0.0,2.0.0,,
