partID,partLabel,partType,partDesc,partInstr,domainID,specimenSet,compartSet,groupID,classID,nomenclatureID,ontologyRef,latExp,catSetID,unitSetID,aggScaleID,aggSetID,qualitySetID,status,firstRel,lastUp,changes,methodSteps,methodStepsRequired,methodStepsOrder,methodSets,methodSetsRequired,methodSetsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygons,polygonsRequired,polygonsOrder,languageLUs,translationLUs,partLUs,setLUs,refLink,dataType,minValue,maxValue,minLength,maxLength
4s,4s method,category,Nucleic acid extraction performed using the 4s method.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,extractCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n,varchar,NA,NA,0,30
a,Air compartment,compartment,A measure or observation made from a substance in the air.,NA,allDo,anySpecimen,airCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,1
a1306s,a1306s delta-variant gene target,measure,a1306s delta-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnits,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
a1918v,a1918v delta-variant gene target,measure,a1918v delta-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnits,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
a2710t ,a2710t omicron-variant gene target,measure,a2710t omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnits,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
a63t ,a63t omicron-variant gene target,measure,a63t omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnits,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
a67v ,a67v omicron-variant gene target,measure,a67v omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnits,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
aas,Atline Analyzer,category,Atline analyzer with sampler.,An atline analyzer with sampler.,naDomain,naSpecimenSet,waterCompartment,naGroup,naClass,naNomenclature,,NA,InsTypeCat,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,Input,,NA,NA,,NA,NA,NA,NA,NA,NA,varchar,NA,NA,NA,NA
absHum,Absolute humidity,measure,The unit of absolute humidity. The total mass of water vapour present in the air.,NA,Phy,siSpecimen,anyCompartment,siteFeat,humClass,naNomenclature,,NA,NA,absHumidUnits,see unit,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,0,30
absHumidUnits,Absolute humidity unit set,unitSet,Unit set for absolute humidity measurements.,NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,absHumidUnits,quantitative,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,input,NA,NA,categorical,NA,NA,NA,NA
academ,Academic institution organization type,category,The category of organization type used for academic institutions or research groups.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,orgTypeCat,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,input,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
acti,Number of active cases,unit,Number of active cases.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$people$,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,NA,,NA,NA,,NA,input,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,integer,0,NA,0,30
active,active,category,Indicator to say that a part is in current use in the model. See partID = status,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,statusCat,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,input,NA,NA,varchar,NA,NA,0,30
aDate,Analysis date,attribute,Date the measurement was performed in the lab.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,datetime,NA,NA,NA,NA
