langID,partID,partLab,partDesc,partInstr
en,4s,4s method,Nucleic acid extraction performed using the 4s method.,NA
en,a,Air compartment,A measure or observation made from a substance in the air.,NA
en,a1306s,a1306s delta-variant gene target,a1306s delta-variant gene target,NA
en,a1918v,a1918v delta-variant gene target,a1918v delta-variant gene target,NA
en,a2710t ,a2710t omicron-variant gene target,a2710t omicron-variant gene target,NA
en,a63t ,a63t omicron-variant gene target,a63t omicron-variant gene target,NA
en,a67v ,a67v omicron-variant gene target,a67v omicron-variant gene target,NA
en,aas,Atline Analyzer,Atline analyzer with sampler.,An atline analyzer with sampler.
en,absHum,Absolute humidity,The unit of absolute humidity. The total mass of water vapour present in the air.,NA
en,absHumidUnits,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA
en,academ,Academic institution organization type,The category of organization type used for academic institutions or research groups.,NA
en,acti,Number of active cases,Number of active cases.,NA
en,active,active,Indicator to say that a part is in current use in the model. See partID = status,NA
en,aDate,Analysis date,Date the measurement was performed in the lab.,NA
en,aDateEnd,Analysis date end,Date the measurement/analysis was completed in the lab.,NA
en,aDateStart,Analysis date start,Date the measurement/analysis was started in the lab.,NA
en,orgID,Organization,The organization to which the reporter is affiliated.,NA
en,instID,Instrument ID,A unique identifier for an instrument.,NA
en,addresses,Address Table,"The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.",adapt from verson 1 documentation
en,addL1,Address Line 1,"Line 1 (the street name, number and direction) for a given address.",NA
en,afu,Air filtration unit,Air filtration or circulating unit. ,Typically the unit would have a fan or blower. 
en,aggregation,Aggregation Part Type,Statistical measures used to report a measure. Each dataType that is a number should be reported with an aggregation.,NA
en,aggID,Aggregation ID,Statistical measures used to report a measure. Each aggregation has a corresponding value.,NA
en,aggScaleID,Aggregation Scale ID,A scale used for an aggregation. See partID = … Only applicable for measures and units.,NA
en,aggSet,Aggregation Set Part Type,The part type for aggregation sets.,Only used for the dictionary entries of parts.
en,aggSetID,Aggregation Set ID,"The ID for an aggreatation set. For example, the aggregation set 'tempC' has one allowable value `c`, with a description `degrees Celcius`. Only applicable for measures.",NA
en,aggregationSetID,Aggregation Set ID,Dictionary entry for partType = aggregationSet.,NA
en,ai,Inhibition present but addressed,"The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.",NA
en,airCompartment,Air compartment set,A compartment set for measures and methods in the air compartment.,NA
en,airpln,Airplane,Airplane,NA
en,airSurfaceCompartment,Air and surface compartment set,A compartment set for measures and methods in the air or surface compartments.,NA
en,airTemp,Environmental Temperature,Environmental temperature.,NA
