tableName,variableName,key,variableType,variableDesc
Sample,sampleID,Primary Key,string,Unique identification for sample. Suggestion:siteID-date-index.
Sample,siteID,Foreign key,string,Links with the Site table to describe the location of sampling.
Sample,dateTime,,datetime,"for grab samples this is the date, time and timezone the sample was taken."
Sample,dateTimeStart,,datetime,"For integrated time averaged samples this is the date, time and timezone the sample was started being taken."
Sample,dateTimeEnd,,datetime,"For integrated time average samples this is the date, time and timezone the sample was finished being taken."
Sample,type,,category,Type of sample.
Sample,typeOther,,string,Description for other type of sample not listed in
Sample,collection,,category,Method used to collect the data.
Sample,collectionOther,,string,Description for other type of method not listed in collection.
Sample,preTreatment,,boolean,Was the sample chemically treated in anyway with the addition of stabilizers or other 
Sample,preTreatmentDescription,,string,If preTreatment then describe the treatment that was performed.
Sample,pooled,,boolean,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites "
Sample,children,,string,If this is a sample with many smaller samples either because of pooling or sub-sampling this indicates a comma separated list of child sampleID's.
Sample,parent,,string,If this sample has been pooled into one big sample for analysis this indicates the sampleID of the larger pooled sample.
Sample,sizeL,,float,Total volume of water or sludge sampled.
Sample,fieldSampleTempC,,float,Temperature that the sample is stored at while it is being sampled. This field is mainly relevant for composite samples which are either kept at ambient temperature or refrigerated while being sampled.
Sample,shippedOnIce,,boolean,Was the sample kept cool while being shipped to the lab 
Sample,storageTempC,,float, Temperature that the sample is stored at in Celsius.
Sample,qualityFlag,,boolean,Does the reporter suspect the sample having some quality issues 
Sample,notes,,string,Any additional notes.
WWMeasure,uWwMeasureID,Primary Key,string,Unique identifier a measurement within the measurement table.
WWMeasure,wwMeasureID,,string,Unique identifier for wide table only. Use when all measures are performed on a single sample at the same time and same laboratory. Suggestion: siteID_sampleID_LabID_reportDate_ID.
WWMeasure,sampleID,Foreign key,string, Links with the identified Sample
WWMeasure,labID,Foreign key,string, Links with the identified Lab that performed the analysis.
WWMeasure,assayID,Foreign key,string, Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.
WWMeasure,instrumentID,Foreign key,string,inks with the Instrument used to perform the analysis. Use assay.ID for viral measures.
WWMeasure,reporterID,Foreign key,string,Links with the reporter that is responsible for the data.
WWMeasure,analysisDate,,date,date the measurement was performed in the lab.
WWMeasure,reportDate,,date,"date the data was reported. One sampleID may have updated reports based on updates to assay method or reporting standard. In this situation, use the original sampleID but updated MeasureID, reportDate and assayID (if needed)."
WWMeasure,fractionAnalyzed,,category,Faction of the sample that is analyzed.
WWMeasure,type,,category,"The variable that is being measured on the sample, e.g. a SARS-CoV-2 gene target region (cov), a biomarker for normalisation (n) or a water quality parameter (wq)."
WWMeasure,typeOther,,string,Description for an other variable not listed in category.
WWMeasure,unit,,category,Unit of the measurement.
WWMeasure,unitOther,,string,Description for other measurement unit not listed in unit.
WWMeasure,aggregation,,category,"Statistical measures used to report the sample units of Ct/Cq, unless otherwise stated. Each aggregation has a corresponding value."
WWMeasure,aggregationOther,,string,Description for other type of aggregation not listed in aggregation.
WWMeasure,index,,integer,Index number in case the measurement was taken multiple times.
WWMeasure,value,,float,The actual measurement value that was obtained through analysis.
WWMeasure,qualityFlag,,boolean,Does the reporter suspect the measurement having some quality issues 
WWMeasure,accessToPublic,,boolean,"If this is 'no', this data will not be available to the public. If missing, data will be available to the public."
WWMeasure,accessToAllOrg,,boolean,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations."
WWMeasure,accessToSelf,,boolean,"If this is 'no', this data will not be shown on the portal when this reporter logs in. If missing, data will be available to this reporter."
WWMeasure,accessToPHAC,,boolean,"If this is 'no', the data will not be available to employees of the Public Health Agency of Canada - PHAC. If missing, data will be available to employees of the Public Health Agency of Canada - PHAC."
WWMeasure,accessToLocalHA,,boolean,"If this is 'no', the, data will not be available to local health authorities. If missing, data will be available to local health authorities."
WWMeasure,accessToProvHA,,boolean,"If this is 'no', this data will not be available to provincial health authorities. If missing, data will be available to provincial health authorities."
WWMeasure,accessToOtherProv,,boolean,"If this is 'no', this data will not be available to other data providers not listed before. If missing, data will be available to other data providers not listed before"
WWMeasure,accessToDetails,,boolean,More details on the existing confidentiality requirements of this measurement.
WWMeasure,notes,,string,Any additional notes.
Site,siteID,Primary Key,string,Unique identifier for the location where wastewater sample was taken.
Site,name,,string,"Given name to the site. Location name could be a treatment plant, campus, institution or sewer location, etc."
Site,description,,string,"Description of wastewater site (city, building, street, etc.) to better identify the location of the sampling point."
Site,type,,category,Type of site or institution where sample was taken.
Site,typeOther,,string,Description of the site when the site is not listed. See siteType.
Site,SampleTypeDefault,,category,Used as default when a new sample is created for this site. See type in Sample table.
