Version,2.3.0,,,,,,,,
translationID,lang,partID,label,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
enga1306s,eng,a1306s,a1306s delta-variant gene target,a1306s delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga1918v,eng,a1918v,a1918v delta-variant gene target,a1918v delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga2710t,eng,a2710t,a2710t omicron-variant gene target,a2710t omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga63t,eng,a63t,a63t omicron-variant gene target,a63t omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga67v,eng,a67v,a67v omicron-variant gene target,a67v omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga67vDel69Del70,eng,a67vDel69Del70,Omicron Variant a67v del69 and del70 mutations,"Omicron Variant a67v mutation mutation, and del 69 and del70 mutations co-occuring",NA,2.2.0,2.2.0,added in V2.2.0,
engaas,eng,aas,Atline Analyzer,Atline analyzer with sampler.,An atline analyzer with sampler.,1.0.0,2.0.0,"description wording, structure",
engabsHum,eng,absHum,Absolute humidity,A measure of the total mass of water vapour present in the air per volume of air.,NA,2.0.0,2.0.0,added in V2.0.0,
engabsHumidUnitSet,eng,absHumidUnitSet,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engacadem,eng,academ,Academic institution,The category of organization type used for academic institutions or research groups.,NA,2.0.0,2.0.0,added in V2.0.0,
engacinetobacter,eng,acinetobacter,Acinetobacter,Acinetobacter,NA,2.2.0,2.2.0,added in V2.2.0,
engacinetobacterGrp,eng,acinetobacterGrp,Acinetobacter Group,A group of measures/methods related to acinebacter bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engacti,eng,acti,Number of active cases,Number of active cases.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engactiCaseOn,eng,actiCaseOn,Number of active cases by Onset date,Number of active cases by onset date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactiEp,eng,actiEp,Number of active cases by episode date,Number of active cases by episode date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactiRep,eng,actiRep,Number of active cases by Report date,Number of active cases by report date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactiTest,eng,actiTest,Number of active cases by test date,Number of active cases by test date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactive,eng,active,Active,Indicator that a part is in current use.,NA,2.0.0,2.0.0,added in V2.0.0,
engad,eng,ad,Address table Shorthand,"The abbreviated short name used to reference the The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ",table,2.2.2,2.2.2,added in V 2.2.2,
engaDate,eng,aDate,Analysis date,Date the measurement was performed in the lab.,NA,1.0.0,2.1.0,Github Issue #211,
engaDateEnd,eng,aDateEnd,Analysis date end,Date the measurement or analysis was completed.,NA,1.0.0,2.0.0,Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211,
engaDateStart,eng,aDateStart,Analysis date start,Date the measurement or analysis was started.,NA,1.0.0,2.0.0,NA,
engaddL1,eng,addL1,Address Line 1,"Line 1 (the street name, number and direction) for a given address.",NA,2.0.0,2.0.0,added in V2.0.0,
engaddL2,eng,addL2,Address Line 2,Line 2 (the unit number) for a given address.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddresses,eng,addresses,Address table,"The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ","The Sites, Organizations, and Contacts tables include a link to the addresses table through Address ID.",2.0.0,2.0.0,NA,
engaddressesOrder,eng,addressesOrder,Addresses table column order,Specifies the order of the columns in the Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddressesRequired,eng,addressesRequired,Address table required headers,Specifies the columns required in a Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddressID,eng,addressID,Address ID,A unique identifier for an address.,NA,2.0.0,2.0.0,added in V2.0.0,
engadenovirusF40,eng,adenovirusF40,Adenovirus (F40/41),Adenovirus (F40/41),NA,2.2.0,2.2.0,added in V2.2.0,
engadenovirusGrp,eng,adenovirusGrp,Adenovirus Group,A group of measures/methods related to Adenoviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engadmRegLevel,eng,admRegLevel,Administrative regions,Administrative regions,NA,2.0.0,3.0.0,"Reactivated as organization level and sector categorical inputs, rather than attributes.",
engadv40,eng,adv40,Adenovirus 40,Adenovirus serotype 40.,NA,2.1.0,2.1.0,added in V2.1.0,
engadv41,eng,adv41,Adenovirus 41,Adenovirus serotype 41.,NA,2.1.0,2.1.0,added in V2.1.0,
engadvF41Fibre,eng,advF41Fibre,Adenovirus F41 Fibre Gene Target,Human Adenovirus Group F41 Fiber gene target,NA,2.1.0,2.1.0,added in V2.1.0,
engafl30,eng,afl30,Academic Free License v3.0,The licensing for the measure or data set is managed under the Academic Free License v3.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engafu,eng,afu,Air filter,Air filter as part of filtration or circulating unit. ,Typically the unit would have a fan or blower. ,2.0.0,2.0.0,added in V2.0.0,
engaggregationScale,eng,aggregationScale,Aggregation scale,A scale used for an aggregation. Only applicable for measures and units.,NA,2.0.0,3.0.1,fixed partID typo - aggragation to aggregation.,
engaggregation,eng,aggregation,Aggregation,Statistical measures used to report a measure. Each aggregation has a corresponding value.,"The default aggregation is `single`, which corresponds to a single measurement. ",1.0.0,2.0.0,restructured,
engaggregationInput,eng,aggregationInput,Aggregation input (wide table),The partID for the aggregation being used in a wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engaggregationName,eng,aggregationName,Aggregation name (wide table),The aggregation referenced for the wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engaggregations,eng,aggregations,Aggregations,Statistical measures used to report a measure. Each measure reported as a number should be reported with an aggregation.,"The default aggregation is `single`, which corresponds to a single measurement. ",2.0.0,2.0.0,added in V2.0.0,
engaggregationScales,eng,aggregationScales,Aggregation scales,The scale of an aggregation set. Aggregation scales include quantitative and qualitative.,NA,2.0.0,2.0.0,added in V2.0.0,
engaggregationSet,eng,aggregationSet,Aggregation set,The aggregation set for a unit.,NA,2.0.0,2.0.0,added in V2.0.0,
engaggregationSets,eng,aggregationSets,Aggregation sets,Sets of aggregations.,"Examples of aggregation sets include logarithm, linear and boolean.",2.0.0,2.0.0,added in V2.0.0,
engagpl30,eng,agpl30,GNU Affero General Public License v3.0,The licensing for the measure or data set is managed under the GNU Affero General Public License v3.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engair,eng,air,Air compartment,A measure or observation made from a substance in the air.,NA,2.0.0,2.0.0,"added in V2.0, changed to partType = compartment",
engairCompartmentSet,eng,airCompartmentSet,Air compartment set,A compartment set for measures and methods in the air compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
engairpln,eng,airpln,Airplane,Airplane sample shed category type,NA,1.0.0,2.0.0,"description wording, structure",
engairport,eng,airport,Airport,Airport sample shed category type,NA,2.0.0,2.0.0,added in V2.0.0,
engairportLists,eng,airportLists,Airport lists worksheet,Parts lists used to generate airport and airplane data entry templates.,NA,2.0.0,2.0.0,added in V2.0.0,
engairportSheetSet,eng,airportSheetSet,Airport Sheets Set,Worksheets in the full airport surveillance template (list + template).,`ODM_template-planes_{version}.xlxs,2.0.0,2.0.0,added in V2.0.0,
engairportTemplate,eng,airportTemplate,Airport Surveillance Template,The input template for airport and airplane surveillance in the EU.,NA,2.0.0,2.1.0,Update,
engairSurfaceCompartmentSet,eng,airSurfaceCompartmentSet,Air and surface compartment set,A compartment set for measures and methods in the air or surface compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
engairTemp,eng,airTemp,Environmental temperature,Environmental temperature.,NA,1.0.0,2.0.0,"description wording, structure",
engairWaterCompartmentSet,eng,airWaterCompartmentSet,Air and water compartment set,A compartment set for measures and methods in the air or water compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
engaliasDep,eng,aliasDep,Alias depreciated,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead.",1.0.0,2.0.0,depreciated,
engaliasIDDep,eng,aliasIDDep,Alias ID depreciated,Alias id,ID of an assay that is the same or similar. a comma separated list.,1.0.0,2.0.0,depreciated,
engallDo,eng,allDo,All domains,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA,2.0.0,2.0.0,added in V2.0.0,
engallele,eng,allele,Alleles class,Measures and methods related to alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
engalleleUnitSet,eng,alleleUnitSet,Allele unit set,Unit set for alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
engallOrgs,eng,allOrgs,Access to all org,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA,1.0.0,2.0.0,depreciated,
engalod,eng,alod,Assay Limit of Detection (LOD),"The minimum level of a target consistently detectable (e.g., with 95% probability) using the assay considering only the amplification and quantification steps of RT-qPCR.",NA,2.2.0,3.0.0,changed quality indicator set from general to measure.,
engaloh3,eng,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
engamDefDep,eng,amDefDep,Assay method id default depreciated,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,depreciated,
engamiconUf,eng,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
engamiMP96,eng,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
engamp,eng,amp,Amplicon sequencing,Specifies the amplicon strategy for genetic sequencing,NA,2.0.0,2.0.0,added in V2.0.0,
engampliArtifact,eng,ampliArtifact,Sequence Amplification Artifacts,Sequence amplification artifacts detected.,NA,2.3.0,2.3.0,added in v 2.3.0,
engamrGrp,eng,amrGrp,Anti-microbial resistance Group,The group for measures and methods pertaining to anti-microbial resistant microbes (general).,NA,2.1.0,2.1.0,added in V2.1.0,
enganaplasmaGrp,eng,anaplasmaGrp,Anaplasma Group,A group of measures/methods related to anaplasma bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engandBoo,eng,andBoo,AND Boolean aggregation,"""AND"" aggreation.","If all values in the aggregation is ""TRUE"" then the AND aggregation is also ""TRUE"". If all values in the aggregation is ""FALSE"" then the AND aggregation is also ""TRUE"". ",2.0.0,2.0.0,added in V2.0.0,
enganneal,eng,anneal,annealing/extension,Describes the annealing and/or extension cycle in a PCR process.,NA,2.2.0,2.2.0,added in V2.2.0,
enganyCompartmentSet,eng,anyCompartmentSet,Any compartment set,A compartment set for measures and methods in any compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
enganySpecimenSet,eng,anySpecimenSet,Any specimen set,A specimen set that inculdes any specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
engapache20,eng,apache20,Apache license 2.0,The licensing for the measure or data set is managed under the Apache license 2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engaPhagocytophilum,eng,aPhagocytophilum,Anaplasma phagocytophilum,Anaplasma phagocytophilum,NA,2.2.0,2.2.0,added in V2.2.0,
engareaPr,eng,areaPr,Area proportional sample,An area proportional sample.,Used for surface testing.,2.0.0,2.0.0,added in V2.0.0,
engarTemp,eng,arTemp,Arrival temperature,The temperature of a sample upon arrival at the laboratory for analysis.,NA,1.0.0,2.0.0,added in V2.0.0,
engarticV3,eng,articV3,Use of the articV3 primer,Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.,NA,2.0.0,2.0.0,added in V2.0.0,
engarticV4,eng,articV4,Use of the articV4 primer,Artic V4 sequencing primer for VOCs and VOIs.,NA,2.0.0,2.0.0,added in V2.0.0,
engartistic20,eng,artistic20,Artistic license 2.0,The licensing for the measure or data set is managed under the Artistic license 2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engasID,eng,asID,Assay ID,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead.",1.0.0,2.0.0,"depreciated, now covered by partID = methodID",
engastrovirus,eng,astrovirus,Astrovirus,Astrovirus,NA,2.2.0,2.2.0,added in V2.2.0,
engastrovirusGrp,eng,astrovirusGrp,Astrovirus Group,A group of measures/methods related to astroviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engattributeInput,eng,attributeInput,Attribute input (wide table),The partID for the attribute being used in a wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engattributeName,eng,attributeName,Attribute name (wide table),The attribute referenced for the wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engattributes,eng,attributes,Attributes,"Attributes describe the who, where, when, and why of environmental surveillance. ","There are attributes for domain, specimen, compartment, or table. Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.",2.0.0,2.0.0,added in V2.0.0,
engbabesia,eng,babesia,Babesia,Babesia,NA,2.2.0,2.2.0,added in V2.2.0,
engbabesiaGrp,eng,babesiaGrp,Babesia or Nuttallia Group,A group of measures/methods related to babesia parasites.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbact16sABIFor,eng,bact16sABIFor,Bacteroides 16S forward primer (HF183) (ABI),Bacteroides 16S forward primer (HF183) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbact16sABIProbe,eng,bact16sABIProbe,Bacteroides 16S probe (BacP234) (ABI),Bacteroides 16S probe (BacP234) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbact16sABIRev,eng,bact16sABIRev,Bacteroides 16S reverse primer (BacR287) (ABI),Bacteroides 16S reverse primer (BacR287) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbacteriaUnitSet,eng,bacteriaUnitSet,Bacteria unit set,Unit set for bacteria-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engbacteroidesGrp,eng,bacteroidesGrp,Bacteroides Group,A group of measures/methods related to bacteroides bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbactFung,eng,bactFung,Bacteria and Fungus Class,Measures and methods relating to bacteria.,NA,2.0.0,2.0.0,added in V2.0.0,
engbactMisc,eng,bactMisc,Miscellaneous bacteria group,A group of measures/methods related to miscellaneous bacteria.,"The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions.",2.0.0,3.0.0,Re-activated to manage grouping for generic bacterial wet lab methods.,
engbbMP96,eng,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
engbBurgdorferi,eng,bBurgdorferi,Borrelia burgdorferi,Borrelia burgdorferi,NA,2.2.0,2.2.0,added in V2.2.0,
engbcov,eng,bcov,bcov,Measure of the amount of bovine coronavirus.,NA,2.0.0,2.0.0,added in V2.0.0,
engbcovCul,eng,bcovCul,bcov culture spike target,Cultured bovine coronavirus is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
engbcovGen,eng,bcovGen,bcov spike target (unspecified),The bovine coronavirus (unspecified) is used as the recovery efficiency control target.,NA,2.2.0,2.2.0,added in V2.2.0,
engbcovVac,eng,bcovVac,bcov vaccine spike target,The bovine coronavirus vaccine is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
engbeeExtractFloc,eng,beeExtractFloc,Beef extract flocculation,Beef extract flocculation.,NA,2.0.0,2.0.0,added in V2.0.0,
engbefore,eng,before,Is Before ,Specifies that the object step or protocol occurs before the subject step or protocol in the overall protocol container.,Use only for protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
engbeLOD,eng,beLOD,Below LOD,Measure is below the limit of detection (LOD) for a specific analyte.,NA,2.0.0,2.0.0,added in V2.0.0,
engbelowLOQ,eng,belowLOQ,Measured levels below LOQ,"Indicates that a measurement detected the analyte, but at levels below the limit of quantification (LOQ).",NA,2.2.3,2.2.3,added in v 2.2.3,
engbeta,eng,beta,Beta,B.1.351,NA,2.0.0,2.0.0,added in V2.0.0,
engbetaCoronaGrp,eng,betaCoronaGrp,Beta Coronavirus Group,A group of measures/methods related to beta coronaviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbio,eng,bio,Biologic,A living organism or biological substance.,NA,2.0.0,2.0.0,added in V2.0.0,
engbioRadDdpcr,eng,bioRadDdpcr,Digital droplet emulsification PCR,Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.,NA,2.0.0,2.0.0,added in V2.0.0,
engbLacAMRGrp,eng,bLacAMRGrp,Beta-Lactamase Anti-microbial resistance Group,The group for measures and methods pertaining to beta-lactamase-related anti-microbial resistance.,NA,2.1.0,2.1.0,added in V2.1.0,
engblaCMY,eng,blaCMY,Cephamycin Beta-Lactamase-Resistance gene target,Cephamycin Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaCTXM1,eng,blaCTXM1,CTX-M Beta-Lactamase-Resistance gene target,CTX-M Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaIMP,eng,blaIMP,Impenemase (IMP) Beta-Lactamase-Resistance gene target,Impenemase (IMP) Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaKPC,eng,blaKPC,Klebsiella pneumoniae Carbapenam (KPC) Beta-Lactamase-Resistance gene target,Klebsiella pneumoniae Carbapenam (KPC) Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaNDM,eng,blaNDM,New-Delhi Metallo- (NDM) Beta-Lactamase-Resistance gene target,New-Delhi Metallo- (NDM) Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
