wideName,label,charLength,descr,source,wideMeasure,wideProtocol,wideAttribute,wideNameType,reportTableName,reportTableInput,partTypeName,partTypeInput,compartmentName,compartmentInput,specimenName,specimenInput,fractionName,fractionInput,measureName,measureInput,methodName,methodInput,unitName,unitInput,aggregationName,aggregationInput,index,attributeName,attributeInput,tag
sas_sampleID,SampleID -Wide,12,"A field for recording the unique identifier for a sample in a wide, or combined long and wide table.",EU Airport template,NA,NA,sas_sampleID,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Sample ID,sampleID,
si_parSiteID,Airport IATA code,12,"Airport IATA code for sampling, used as a parent site ID for organizing sub-sites in the airport.",EU Airport template,NA,NA,si_parSiteID,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Parent Site ID,parSiteID,
si_sampleShed,Sample shed - wide,13,"A geographic area, physical space, or structure. A sample is taken from a sampleshed for a representative measurement of a substance(s) in a wide, or combined long and wide table.",EU Airport template,NA,NA,si_sampleShed,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Sample shed,sampleShed,
si_siteID,Site,9,"A field for recording the unique identifier for a site in a wide, or combined long and wide table.",EU Airport template,NA,NA,si_siteID,attributes,Sites table Shorthand,si,,0,,0,,0,,0,,0,,0,,0,,0,,Site ID,siteID,
hum_sit_NA_popServ_peeps_total_NA_value,Population served (PE),39,"A field for reporting the attribute of a site, which specifies the population of/population served by a given site in a wide or combined long-and-wide table. ",EU Airport template,hum_sit_NA_popServ_peeps_total_NA_value,NA,NA,measurements,Measure report table Shorthand,mr,Measures Part-type Shorthand,mes,Human compartment,hum,Site,sit,Not applicable,NA,Population Served,popServ,,0,Number of people,peeps,Total amount or count - the sum,total,NA,Value,value,
sas_collDTStart,Collection start date/time - wide,15,"For integrated time averaged samples this is the date, time and timezone the sample was started being taken in a wide or combined long-and-wide table. ",EU Airport template,NA,NA,sas_collDTStart,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Collection date time start,collDTStart,
sas_collType,Collection type - wide,12,The type of sample collection in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,sas_collType,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Sample collection type,collType,
sm_2_collPer_collNum,Composite collection number.period - wide,20,Composite collection number.period in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,NA,exceptions,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,
sas_pooled,Pooled,10,Binary indicator for whether a sample is pooled/made by combining multiple distinct samples.,EU Airport template,NA,NA,sas_pooled,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Pooled,pooled,
mr_aDateStart,Analysis date/time start,13,"Date, time, and timezone of when the analysis was started.",EU Airport template,NA,NA,mr_aDateStart,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Analysis date start,aDateStart,
mr_aDateEnd,Analysis date/time end,11,"Date, time, and timezone of when the analysis was completed.",EU Airport template,NA,NA,mr_aDateEnd,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Analysis date end,aDateEnd,
mr_fraction,Fraction analyzed,11,The fraction of the wastewater used for analysis and measurement.,EU Airport template,NA,NA,mr_fraction,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Fraction analyzed,fraction,
sas_saMaterial,Sample type,14,The type of sample.,EU Airport template,NA,NA,sas_saMaterial,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Sample material,saMaterial,
ps_met_wat_sa_hFr_OR_2_pcrmeth_seqStrat_value,Method used,45,"The value for either the PCR method used, or the sequencing strategy used to obstain a measure in a wide or combined long-and-wide table. ",EU Airport template,NA,NA,NA,exceptions,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,
pro_refLink,Protocol citation link,11,Reference link for a specific protocol.,EU Airport template,NA,NA,pro_refLink,attributes,Protocols table Shorthand,pro,,0,,0,,0,,0,,0,,0,,0,,0,,Reference link,refLink,
mr_class,Target Type,8,"The genetic ""target type"" as defined using ODM classes  in a wide or combined long-and-wide table. ",EU Airport template,NA,NA,mr_class,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Class,class,
mr_measure,Target,10,The genetic target or measure of an analysis  in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_measure,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Measure,measure,
wat_sa_hFr_OR_3_otherM_otherA_otherV_hUn_hAg_value,Target Other Specify,50,"Value for an unlisted genetic target for either a mutation, an allele, or a variant  in a wide or combined long-and-wide table. ",EU Airport template,NA,NA,NA,exceptions,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,
wat_sa_hFr_hMe_hUn_hAg_NR_value,Value - wide,31,Measure value  in a wide or combined long-and-wide table where most details are recorded in other columns.,EU Airport template,wat_sa_hFr_hMe_hUn_hAg_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,See Header for Fraction Analyzed,hFr,See Header for Measure,hMe,,0,See Header for Unit,hUn,See Header for Aggregation,hAg,NR,Value,value,
mr_unit,Unit - wide,7,The unit of a measure in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_unit,attributes,Measure report table Shorthand,mr,,0,,0,,0,,                              ,,0,,0,,0,,0,,Unit,unit,
mr_aggregation,Aggregation - wide,14,The aggregation of a measure in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_aggregation,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Aggregation,aggregation,
mr_refLink,Sequence / Sequence URL,10,The reference link for a sequencing measure in a wide or combined long-and-wide table. ,EU Airport template,NA,NA,mr_refLink,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Reference link,refLink,
wat_sit_nr_cod_mgL_me_NR_value,Chemical Oxygen Demand (mg/l)  - wide,30,Chemical oxygen demand in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_cod_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Chemical Oxygen Demand,cod,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_bod5t_mgL_me_NR_value,Biochemical Oxygen Demand (mg/l) - wide,32,Biochemical oxygen demand in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_bod5t_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,5-day total biochemical oxygen demand,bod5t,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_cond_uSCm_me_NR_value,Water conductivity (µS/cm) - wide,32,Wastewater or water conductivity  in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_cond_uSCm_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Water conductivity,cond,,0,Micro-Siemens per centimetre,uSCm,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_ph_unitless_me_NR_value,pH - wide,34,pH of a site in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_ph_unitless_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,pH,ph,,0,Unitless measure,unitless,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_tn_mgL_me_NR_value,Nitrogen concentration (mg/l) - wide,29,Notal nitrogen concentration at a site in a wide or combined long-and-wide table. ,EU Airport template,wat_sit_nr_tn_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Total Nitrogen,tn,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sa_nr_lodSewa_gc_sin_NR_value,Limit of Detection (gc) - wide,33,Limit of Detection of a wastewater sample in a wide or combined long-and-wide table. ,EU Airport template,wat_sa_nr_lodSewa_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of detection (LOD) - sewage,lodSewa,,0,Gene copies,gc,Single,sin,NR,Value,value,
wat_sa_nr_loq_gc_sin_NR_value,Limit of Quantification (gc) - wide,29,Limit of quantification in a wide or combined long-and-wide table. ,EU Airport template,wat_sa_nr_loq_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of quantification (LOQ),loq,,0,Gene copies,gc,Single,sin,NR,Value,value,
