Sample Date,N1 AVG,N1 STDEV,DATE,N2 AVG,N2 STDEV,N1 - N2 AVG,5-day mid-point moving average,% CHANGE FOR PREVIOUS PREVIOUS TEST DAY
08-Apr,0.00245,0.0009,08-Apr,0.00119,0.00041,0.00182,,
24-Apr,0.00145,0.00058,24-Apr,0.00019,0.00004,0.00082,,
05-May,0.00052,0.00021,05-May,0.00078,0.00071,0.00065,0.000805,
19-May,0.00037,0.00014,19-May,0.00019,0.00009,0.00028,0.000479,-0.405
02-Jun,0.0005,0.00021,02-Jun,0.00042,0.00012,0.00046,0.000361,-0.245
10-Jun,0.00006,0,10-Jun,0.00031,0.00019,0.00019,0.000287,-0.205
16-Jun,0.00025,0.00004,16-Jun,0.00022,0.00007,0.00023,0.000269,-0.062
17-Jun,0.00036,0.00017,17-Jun,0.00019,0.00006,0.00028,0.000248,-0.079
19-Jun,0.0002,0.00007,19-Jun,0.00019,0.00004,0.00019,0.000331,0.334
21-Jun,0.00056,0.00035,21-Jun,0.00015,0.00013,0.00035,0.00038,0.149
23-Jun,0.00083,0.0002,23-Jun,0.00038,0.00002,0.0006,0.000424,0.115
26-Jun,0.00058,0.00017,26-Jun,0.00038,#DIV/0!,0.00048,0.000481,0.134
27-Jun,0.00077,0.00028,27-Jun,0.00022,#DIV/0!,0.0005,0.000493,0.025
30-Jun,0.00052,#DIV/0!,30-Jun,0.00043,#DIV/0!,0.00048,0.000391,-0.208
07-Jul,0.00041,0,07-Jul,,#DIV/0!,0.00041,0.000411,0.052
09-Jul,0.00009,0.00003,09-Jul,,#DIV/0!,0.00009,0.000339,-0.175
12-Jul,0.00055,0.00015,12-Jul,0.00061,0.0002,0.00058,0.000378,0.114
13-Jul,0.00014,0.00003,13-Jul,,#DIV/0!,0.00014,0.000824,1.182
15-Jul,0.00076,0.00031,15-Jul,0.00057,#DIV/0!,0.00067,0.001387,0.684
17-Jul,0.00249,0.00089,17-Jul,0.0028,0.00099,0.00264,0.001384,-0.002
19-Jul,0.00248,0.00085,19-Jul,0.00333,0.00037,0.00291,0.001696,0.226
21-Jul,0.0008,#DIV/0!,21-Jul,0.00032,0.00011,0.00056,0.001872,0.104
23-Jul,0.00132,0.0004,23-Jul,0.00207,0.00053,0.0017,0.001627,-0.131
25-Jul,0.00223,0.0003,25-Jul,0.00087,0.00039,0.00155,0.001257,-0.227
27-Jul,0.00149,0.00052,27-Jul,0.00134,0.0003,0.00142,0.001311,0.043
29-Jul,0.00129,0.00032,29-Jul,0.00083,0.00032,0.00106,0.001283,-0.021
31-Jul,0.00066,0.00017,31-Jul,0.00101,0.00001,0.00083,0.001263,-0.016
04-Aug,0.00114,0.00026,04-Aug,0.00198,0.00014,0.00156,0.001212,-0.04
08-Aug,0.00164,0.00043,08-Aug,0.00126,0.00068,0.00145,0.001262,0.041
10-Aug,0.00127,0.00033,10-Aug,0.00105,0.00072,0.00116,0.001265,0.003
12-Aug,0.00203,0.00018,12-Aug,0.00058,0.00013,0.00131,0.001259,-0.004
14-Aug,0.0012,0.00054,14-Aug,0.0005,#DIV/0!,0.00085,0.001448,0.149
16-Aug,0.0015,0.00042,16-Aug,0.00156,0.00094,0.00153,0.00149,0.029
18-Aug,0.00264,0.00091,18-Aug,0.00214,0.00061,0.00239,0.001598,0.073
22-Aug,0.00115,0.00053,22-Aug,0.00159,0.00027,0.00137,0.001922,0.203
24-Aug,0.00199,0.00007,24-Aug,0.00171,0.00088,0.00185,0.002166,0.127
26-Aug,0.00305,0.00059,26-Aug,0.00189,0.00016,0.00247,0.002149,-0.008
28-Aug,0.00344,0.00192,28-Aug,0.00205,0.00032,0.00275,0.002068,-0.038
30-Aug,0.00215,0.0008,30-Aug,0.00246,0.00017,0.0023,0.001977,-0.044
01-Sep,0.00121,0.00015,01-Sep,0.00073,0.0004,0.00097,0.001841,-0.069
03-Sep,0.00126,0.0003,03-Sep,0.00154,0.00041,0.0014,0.00157,-0.147
05-Sep,0.00184,0.0001,05-Sep,0.00173,0.00108,0.00179,0.001577,0.005
07-Sep,0.0016,0.0002,07-Sep,0.00119,0.00013,0.0014,0.001628,0.032
10-Sep,0.00237,0.00138,10-Sep,0.00231,0.00093,0.00234,0.001647,0.011
11-Sep,0.00131,0.00064,11-Sep,0.00114,0.00047,0.00122,0.001755,0.066
12-Sep,0.00123,0.00026,12-Sep,0.00175,0.00102,0.00149,0.001871,0.066
13-Sep,0.00193,0.00043,13-Sep,0.00272,0.00094,0.00233,0.001802,-0.037
14-Sep,0.00191,0.00039,14-Sep,0.00204,0.00032,0.00197,0.001699,-0.057
15-Sep,0.00185,0.00052,15-Sep,0.00214,0.00026,0.002,0.001768,0.04
16-Sep,0.0006,0.00013,16-Sep,0.00081,0.00015,0.00071,0.001633,-0.076
17-Sep,0.00184,#DIV/0!,17-Sep,0.00182,0.00037,0.00183,0.001861,0.139
18-Sep,0.00099,0.00033,18-Sep,0.00233,0.00061,0.00166,0.00168,-0.097
19-Sep,0.00309,0.00052,19-Sep,0.00313,0.00066,0.00311,0.002134,0.27
20-Sep,0.00123,0.00044,20-Sep,0.00096,0.00019,0.00109,0.002441,0.144
21-Sep,0.00273,0.00006,21-Sep,0.00322,0.00037,0.00298,0.002523,0.034
22-Sep,0.00257,0.00115,22-Sep,0.00416,0.00195,0.00336,0.00211,-0.164
23-Sep,0.00197,0.00013,23-Sep,0.00217,0.00074,0.00207,0.002134,0.011
24-Sep,0.00073,0.00011,24-Sep,0.00136,0.00032,0.00105,0.001964,-0.08
25-Sep,0.0009,0.00045,25-Sep,0.00153,0.00044,0.00121,0.001756,-0.106
26-Sep,0.00158,0.00022,26-Sep,0.00267,0.00056,0.00213,0.001991,0.134
27-Sep,0.00215,0.00015,27-Sep,0.0025,0.00023,0.00232,0.002449,0.23
28-Sep,0.00297,0.00054,28-Sep,0.00352,0.00059,0.00324,0.002696,0.101
29-Sep,0.0026,0.00174,29-Sep,0.00407,0.00175,0.00334,0.003851,0.429
30-Sep,0.00265,0.00151,30-Sep,0.00224,0.00144,0.00244,0.004228,0.098
01-Oct,0.00663,0.00098,01-Oct,0.00917,0.00382,0.0079,0.005005,0.184
