partID,label,partType,partDesc,partInstr,fKAliasID,domain,specimenSet,compartmentSet,group,class,nomenclature,ontologyRef,latExp,mmaSet,unitSet,aggregationScale,aggregationSet,qualityIndSet,missingnessSet,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,phActions,phActionsRequired,phActionsOrder,calculations,calculationsRequired,calculationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygonRelationships,polygonRelationshipsRequired,polygonRelationshipsOrder,polygons,polygonsRequired,polygonsOrder,accessions,accessionsRequired,accessionsOrder,languages,languagesRequired,languagesOrder,translations,translationsRequired,translationsOrder,parts,partsRequired,partsOrder,sets,setsRequired,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,countries,countriesRequired,countriesOrder,zones,zonesRequired,zonesOrder,wideNames,wideNamesRequired,wideNamesOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
16rgs,16S Ribosomal Gene Sequencing,categories,An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
a1306s,a1306s delta-variant gene target,measurements,a1306s delta-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a1918v,a1918v delta-variant gene target,measurements,a1918v delta-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a2710t,a2710t omicron-variant gene target,measurements,a2710t omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a63t,a63t omicron-variant gene target,measurements,a63t omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a67v,a67v omicron-variant gene target,measurements,a67v omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a67vDel69Del70,Omicron Variant a67v del69 and del70 mutations,measurements,"Omicron Variant a67v mutation mutation, and del 69 and del70 mutations co-occuring",,,bio,saSpecimenSet,anyCompartmentSet,omicronGrp,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
aas,Atline Analyzer,categories,Atline analyzer with sampler.,An atline analyzer with sampler.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,"description wording, structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
abricate,ABRicate Software,categories,Software tool for screening bacterial genomes against multiple resistance databases.,,,naDomain,naSpecimenSet,naCompartmentSet,amrGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/tseemann/abricate,varchar,,,0,50
absHum,Absolute humidity,measurements,A measure of the total mass of water vapour present in the air per volume of air.,,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,humid,naNomenclature,,,,absHumidUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
