Version,2.2.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
tra000001,eng,absHum,Absolute humidity,A measure of the total mass of water vapour present in the air per volume of air.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000002,eng,absHumidUnitSet,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000003,eng,sin,Single,"A value that is not an aggregate measurement (ie. not a mean, median, max or any other) and can be a replicate value.",NA,1.0.0,2.0.0,NA,
tra000004,eng,afu,Air filter,Air filter as part of filtration or circulating unit. ,Typically the unit would have a fan or blower. ,2.0.0,2.0.0,added in V2.0.0,
tra000005,eng,menr,Normalized arithmetic mean,"Arithmetic mean, normalized.",NA,1.0.0,2.0.0,added in V2.0.0,
tra000006,eng,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000007,eng,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000008,eng,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000009,eng,arTemp,Arrival temperature,The temperature of a sample upon arrival at the laboratory for analysis.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000010,eng,bacteria,Bacteria Class,Measures and methods relating to bacteria.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000011,eng,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000012,eng,beeExtractFloc,Beef extract flocculation,Beef extract flocculation.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000013,eng,boc,Breadth of coverage (>=5x depth),Positions with read depth greater or equal to 5.,Report as percentage of positions.,2.0.0,2.0.0,Issue #120,
tra000014,eng,ngmn,Normalized geometric mean,"Geometric mean, normalized.",NA,1.0.0,2.0.0,added in V2.0.0,
tra000015,eng,sdn,Normalized standard deviation,"Standard deviation, normalized.",NA,1.0.0,2.0.0,NA,
tra000016,eng,booleanSet,Boolean value set,Set that contains the valid possible values for a boolean measure (TRUE or FALSE).,NA,2.0.0,2.0.0,added in V2.0.0,
tra000017,eng,camp,Campylobacter,Campylobacter.,NA,2.1.0,2.1.0,added in V2.1.0,
tra000018,eng,capacity,Capacity class,Measures and methods relating to capacity.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000019,eng,gmn,Geometric mean,Geometric mean.,NA,1.0.0,2.0.0,NA,
tra000020,eng,centriconUf,Centricon ultrafiltration,Centricon ultrafiltration.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000021,eng,ceres,Ceres nanotrap,Ceres nanotrap.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000022,eng,cfu,CFU per 100 ml,Colony forming units per 100 ml of filtered sample.,NA,1.1.0,2.0.0,description wording.,
tra000023,eng,co2,Carbon Dioxide ,A measure of an amount or concentraion of carbon dioxide.,NA,2.0.0,2.0.0,added in V2.0; github issue #202,
tra000024,eng,maxVal,Maximum value,Highest value in a range of values for a measure.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000025,eng,colis,Colistin resistance,Colistin-resistant bacteria.,NA,2.1.0,2.1.0,added in V2.1.0,
