partID,partLabel,partType,shortName,partDesc,partInstr,domainID,specimenSet,compSet,groupID,classID,nomenclatureID,ontologyRef,latExp,catSetID,unitSetID,aggScaleID,aggSetID,qualitySetID,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygons,polygonsRequired,polygonsOrder,languages,languagesOrder,translations,translationsOrder,parts,sets,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
4s,4s method,category,NA,Nucleic acid extraction performed using the 4s method.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n,varchar,NA,NA,0,30
collectCatSet,Sample collection category set,catSet,NA,The category set for sample collection.,NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,collectCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
a1306s,a1306s delta-variant gene target,measure,NA,a1306s delta-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
a1918v,a1918v delta-variant gene target,measure,NA,a1918v delta-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
a2710t,a2710t omicron-variant gene target,measure,NA,a2710t omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
a63t,a63t omicron-variant gene target,measure,NA,a63t omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
a67v,a67v omicron-variant gene target,measure,NA,a67v omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
aas,Atline Analyzer,category,NA,Atline analyzer with sampler.,An atline analyzer with sampler.,naDomain,naSpecimenSet,waterCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
absHum,Absolute humidity,measure,NA,The unit of absolute humidity. The total mass of water vapour present in the air.,NA,Phy,siSpecimen,anyCompartment,siteFeat,humClass,naNomenclature,,NA,NA,absHumidUnitSet,see unit,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
absHumidUnitSet,Absolute humidity unit set,unitSet,NA,Unit set for absolute humidity measurements.,NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,absHumidUnitSet,quantAggScale,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
academ,Academic institution organization type,category,NA,The category of organization type used for academic institutions or research groups.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
acti,Number of active cases,unit,NA,Number of active cases.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$people$,NA,naUnitSet,NA,linearAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
active,Active,category,NA,Indicator to say that a part is in current use in the model. See partID = status,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
