"","partID","partLabel","partType","shortName","partDesc","partInstr","domainID","specimenSet","compSet","groupID","classID","nomenclatureID","ontologyRef","latExp","catSetID","unitSetID","aggScaleID","aggSetID","qualitySetID","status","firstReleased","lastUpdated","changes","protocolSteps","protocolStepsRequired","protocolStepsOrder","protocolRelationships","protocolRelationshipsRequired","protocolRelationshipsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languages","languagesOrder","translations","translationsOrder","parts","sets","setsOrder","qualityReports","qualityReportsRequired","qualityReportsOrder","sampleRelationships","sampleRelationshipsRequired","sampleRelationshipsOrder","protocols","protocolsRequired","protocolsOrder","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","NWSS","NWSS_process","NWSS_notes","ENA","ENA_notes","NORMAN","NORMAN_note","W_SPHERE","W_SPHERE_Notes","NCBI","PHAGE","version1Table","version1Location","version1Table2","version1Variable","version1CatSetegory","version1to2Changes"
"1","4s","4s method","category","NA","Nucleic acid extraction performed using the 4s method.","NA","Bio","saSpecimen","anyCompartment","procGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n","varchar","NA","NA","0","30","Méthode 4s","Extraction d'acides nucléiques réalisée par la méthode 4s.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","a","Air compartment","compartment","NA","A measure or observation made from a substance in the air.","NA","allDo","anySpecimen","airCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0, changed to partType = compartment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","1","Air","Une mesure ou une observation faite à partir d'une substance dans l’air.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","a1306s","a1306s delta-variant gene target","measure","NA","a1306s delta-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","a1306s cible du gène variante delta","Gène cible a1306s de la variante delta.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","a1918v","a1918v delta-variant gene target","measure","NA","a1918v delta-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","a1918v cible du gène variante delta","Gène cible a1918v de la variante delta.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","a2710t","a2710t omicron-variant gene target","measure","NA","a2710t omicron-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","a2710t cible du gène variante omicron","Gène cible a2710t de la variante omicron.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","a63t","a63t omicron-variant gene target","measure","NA","a63t omicron-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","a63t cible du gène variante omicron","Gène cible a63t de la variante omicron.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","a67v","a67v omicron-variant gene target","measure","NA","a67v omicron-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","a67v cible du gène variante omicron","Gène cible a67v de la variante omicron.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","aas","Atline Analyzer","category","NA","Atline analyzer with sampler.","An atline analyzer with sampler.","naDomain","naSpecimenSet","waterCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Analyseur manuel","Mesure é l'aide d'un échantillonneur.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","Instrument","variableCatSetegories","NA","NA","type","atline"
"9","absHum","Absolute humidity","measure","NA","The unit of absolute humidity. The total mass of water vapour present in the air.","NA","Phy","siSpecimen","anyCompartment","siteFeat","humClass","naNomenclature","NA","NA","NA","absHumidUnitSet","see unit","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","Humidité absolue","Mesure de l'humidité absolue, ou de la concentration de vapeur d'eau présente dans l'air ; fait partie d'une série de mesures météorologiques qui peuvent être utiles lors de la collecte d'échantillons provenant de sources extérieures.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","absHumidUnitSet","Absolute humidity unit set","unitSet","NA","Unit set for absolute humidity measurements.","NA","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","absHumidUnitSet","quantAggScale","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Ensemble d'unités d'humidité absolue","Ensemble d'unités pour les mesures d'humidité absolue.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
