setID (partID),setType,setValues (partID),label,notes,instructions,status,firstReleased,lastReleased,descChange
volumeUnits,unit,ml,Millilitres,,,active,2.0,2.0,
volumeUnits,unit,l,Litres,,,active,2.0,2.0,
volumeUnits,unit,kl,Kilolitres,,,active,2.0,2.0,
geneticUnits,unit,gcMl,Gene Copies per mL,Change geneticUnits to allele units?,,active,2.0,2.0,
geneticUnits,unit,ct,Cycle threshold,,,active,2.0,2.0,
geneticUnits,unit,doc,Depth of coverage,,,active,2.0,2.0,
geneticUnits,unit,gcPpmov,Gene Copies per PMMoV Copy,,,active,2.0,2.0,
geneticUnits,unit,gcGS,Gene Copies per Gram Solids,,,active,2.0,2.0,
geneticUnits,unit,gcCrA,Gene Copies per Copy of crAssphage,,,active,2.0,2.0,
geneticUnits,unit,pp,Percent positive,,,active,2.0,2.0,
geneticUnits,unit,subVar,Sub-variant or lineage,,,active,2.0,2.0,
geneticUnits,unit,varFreq,Frequency of Variants Detected,,,active,2.0,2.0,
stdConcentrationUnits,unit,mgL,Milligrams per litre,also within dissolved gas units,,active,2.0,2.0,
stdConcentrationUnits,unit,ppm,parts per million,also within dissolved gas units,,active,2.0,2.0,
stdConcentrationUnits,unit,pps,Percent Primary Sludge,,,active,2.0,2.0,
bacteriaUnits,unit,cfu,CFU per 100 ml,,,active,2.0,2.0,
temperatureUnits,unit,cel,Degrees Celcius,,,active,2.0,2.0,
conductivityUnits,unit,uSCm,Micro-Siemens per centimetre,,,active,2.0,2.0,
flowUnits,unit,kgS,Kilogram per second,,,active,2.0,2.0,
bacteriaUnits,unit,cfu100Ml,Colony-forming units,,,active,2.0,2.0,
linearAggrs,aggregation,sin,Single,,,active,2.0,2.0,
linearAggrs,aggregation,me,Arithmetic Mean,,,active,2.0,2.0,
linearAggrs,aggregation,med,Median,,,active,2.0,2.0,
linearAggrs,aggregation,min,Minimum Value,,,active,2.0,2.0,
linearAggrs,aggregation,max,Maximum Value,,,active,2.0,2.0,
linearAggrs,aggregation,sd,Standard Deviation,,,active,2.0,2.0,
logAggrs,aggregation,sin,Single,,,active,2.0,2.0,
logAggrs,aggregation,min,Minimum Value,,,active,2.0,2.0,
logAggrs,aggregation,max,Maximum Value,,,active,2.0,2.0,
logAggrs,aggregation,gmn,Geometric Mean,,,active,2.0,2.0,
booleanAggrSet,aggregation,booleanAggr,Boolean aggregation,,,active,2.0,2.0,
booleanUnits,unit,bool,Boolean,Should we have this? I'm not sure how we'd aggregate booleen measures.  IL: You'll need something here if boolean-related measures show up in the tempalte,,active,2.0,2.0,
populationUnits,unit,acti,Number of active cases,,,active,2.0,2.0,
populationUnits,unit,conf,Number of confirmed cases,,,active,2.0,2.0,
populationUnits,unit,hosa,General Hospital Admissions,,,active,2.0,2.0,
populationUnits,unit,hosc,Hospital Census,,,active,2.0,2.0,
populationUnits,unit,ptot,Number of positive tests,,,active,2.0,2.0,
populationUnits,unit,pprt,Percent positivity rate,,,active,2.0,2.0,
populationUnits,unit,test,Number of tests performed,,,active,2.0,2.0,
poSpecimen,specimenSets,po,Population,,,active,2.0,2.0,
siSaSpecimen,specimenSets,si,Site,,,active,2.0,2.0,
siSaSpecimen,specimenSets,sa,Sample,,,active,2.0,2.0,
saSpecimen,specimenSets,sa,Sample,,,active,2.0,2.0,
siSpecimen,specimenSets,si,Site,,,active,2.0,2.0,
anySpecimen,specimenSets,si,Site,,,active,2.0,2.0,
anySpecimen,specimenSets,sa,Sample,,,active,2.0,2.0,
anySpecimen,specimenSets,po,Population,,,active,2.0,2.0,
anySpecimen,specimenSets,pe,Person,,,active,2.0,2.0,
anyCompartment,compartmentSet,W,Water compartment,,,active,2.0,2.0,
anyCompartment,compartmentSet,A,Air compartment,,,active,2.0,2.0,
anyCompartment,compartmentSet,S,Surface compartment,,,active,2.0,2.0,
waterCompartment,compartmentSet,W,Water compartment,,,active,2.0,2.0,
airCompartment,compartmentSet,A,Air compartment,,,active,2.0,2.0,
surfaceCompartment,compartmentSet,S,Surface compartment,,,active,2.0,2.0,
airWaterCompartment,compartmentSet,A,Air compartment,,,active,2.0,2.0,
airWaterCompartment,compartmentSet,W,Water compartment,,,active,2.0,2.0,
surfaceWaterCompartment,compartmentSet,S,Surface compartment,,,active,2.0,2.0,
surfaceWaterCompartment,compartmentSet,W,Water compartment,,,active,2.0,2.0,
airSurfaceCompartment,compartmentSet,A,Air compartment,,,active,2.0,2.0,
airSurfaceCompartment,compartmentSet,S,Surface compartment,,,active,2.0,2.0,
naCompartmentSet,compartmentSet,naCompartment,Compartment not applicable,,,active,2.0,2.0,
humanCompartment,compartmentSet,H,Human compartment,,,active,2.0,2.0,
capacityUnits,unit,mgd,Millions of gallons per day (MGD),also in flow units?,,active,2.0,2.0,
capacityUnits,unit,mld,Megalitres per day (ML/d),,,active,2.0,2.0,
capacityUnits,unit,popEq,Population equivalents,,,active,2.0,2.0,
geneticUnits,unit,gcL,Gene Copies per L,,,active,2.0,2.0,
geneticUnits,unit,prop,Proportion of total,,,active,2.0,2.0,
geneticUnits,unit,boc,Breadth of coverage (>=5x depth),,,active,2.0,2.0,
geneticUnits,unit,doc,Depth of coverage,,,active,2.0,2.0,
geneticUnits,unit,percRec,Percent Recovery,,,active,2.0,2.0,
geneticUnits,unit,nondet,Non-detected,,,active,2.0,2.0,
geneticUnits,unit,propV,Proportion of variant in sample,,,active,2.0,2.0,
populationUnits,unit,newVax,Population of newly vaccinated persons,,,active,2.0,2.0,
populationUnits,unit,vax2,Population with 2 doses of vaccine,,,active,2.0,2.0,
populationUnits,unit,vax3,Population with 3 doses of vaccine,,,active,2.0,2.0,
populationUnits,unit,vax1,Population with 1 dose of vaccine,,,active,2.0,2.0,
populationUnits,unit,conf_test,,,,active,2.0,2.0,
populationUnits,unit,conf_case,,,,active,2.0,2.0,
populationUnits,unit,conf_on,,,,active,2.0,2.0,
populationUnits,unit,conf_ep,,,,active,2.0,2.0,
unitlessUnits,unit,unitless,Unitless measure,,,active,2.0,2.0,
TurbidityUnits,unit,ntu,Nephelometric turbidity unit,,,active,2.0,2.0,
volumeUnits,unit,mm,Millimetres,also precipitation units,,active,2.0,2.0,
relHumidUnits,unit,percent,,,,active,2.0,2.0,
absHumidUnits,unit,gm3,Gram per cubic metre,,,active,2.0,2.0,
specHumidUnits,unit,ratio,Ratio,,,active,2.0,2.0,
windSpeedUnits,unit,ms,Metres per second,,,active,2.0,2.0,
dissGasUnits,unit,ppm,parts per million,also within standard concentration units,,active,2.0,2.0,
dissGasUnits,unit,mgL,Milligrams per litre,also within standard concentration units,,active,2.0,2.0,
flowUnits,unit,m3S,Cubic metres per second,,,active,2.0,2.0,
flowUnits,unit,m3D,Cubic metres per day,,,active,2.0,2.0,
flowUnits,unit,m3H,Cubic metres per hour,,,active,2.0,2.0,
flowUnits,unit,kgS,Kilogram per second,(Previously a MassFlowRate),,active,2.0,2.0,
flowUnits,unit,mld,Megalitres per day (ML/d),,,active,2.0,2.0,
flowUnits,unit,mgd,Millions of gallons per day (MGD),also in capacity units,,active,2.0,2.0,
precipiationUnits,unit,mm,Milimetres,also volume units,,active,2.0,2.0,
precipiationUnits,unit,cm,Centimetres,,,active,2.0,2.0,
geneticUnits,unit,unitless,Unitless measure,,,active,2.0,2.0,
naAggregationSet,aggregation,naAggregation,Aggregation not applicable,,,active,2.0,2.0,
naUnitSet,unit,naUnit,Unit not applicable,,,active,2.0,2.0,
genQualitySet,quality,qf2,Quality concerns,,,active,2.0,2.0,
genQualitySet,quality,qf1,No quality concerns,,,active,2.0,2.0,
pcrQualitySet,quality,J,Weak signal extrapolation,,,active,2.0,2.0,
pcrQualitySet,quality,B,Trace levels of contamination,,,active,2.0,2.0,
pcrQualitySet,quality,ND,Non-detect,,,active,2.0,2.0,
pcrQualitySet,quality,NoConcernPCR,No quality concerns for PCR,,,active,2.0,2.0,
pcrQualitySet,quality,UJ,Trace signal extrapolation,,,active,2.0,2.0,
sampleQualitySet,quality,noLabel,Sample not labelled,,,active,2.0,2.0,
sampleQualitySet,quality,leaked,Leaked Sample,,,active,2.0,2.0,
sampleQualitySet,quality,frozen,Sample frozen,,,active,2.0,2.0,
sampleQualitySet,quality,wrongTemp,Sample stored at wrong temperature,,,active,2.0,2.0,
sampleQualitySet,quality,wrongStorage,Sample stored incorrectly,,,active,2.0,2.0,
pcrQualitySet,quality,AI,Inhibition present but addressed,,,active,2.0,2.0,
pcrQualitySet,quality,FI,Inhibition present and unaddressed,,,active,2.0,2.0,
pcrQualitySet,quality,UQ,Unquantifiable,,,active,2.0,2.0,
sampleQualitySet,quality,spill,Sample spilled,,,active,2.0,2.0,
sampleQualitySet,quality,lowVol,Low-volume sample,,,active,2.0,2.0,
sampleQualitySet,quality,noTime,Sample missing time stamp,,,active,2.0,2.0,
