langID,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes,
eng,4s,4s method,Nucleic acid extraction performed using the 4s method.,NA,2.0,2.0,added in V2.0,,
eng,collectCatSet,Sample collection category set,The category set for sample collection.,NA,2.0,2.0,added in V2.0,,
eng,a1306s,a1306s delta-variant gene target,a1306s delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,a1918v,a1918v delta-variant gene target,a1918v delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,a2710t,a2710t omicron-variant gene target,a2710t omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,a63t,a63t omicron-variant gene target,a63t omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,a67v,a67v omicron-variant gene target,a67v omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,aas,Atline Analyzer,Atline analyzer with sampler.,An atline analyzer with sampler.,1.0,2.0,"description wording, structure",,
eng,absHum,Absolute humidity,The unit of absolute humidity. The total mass of water vapour present in the air.,NA,2.0,2.0,added in V2.0,,
eng,absHumidUnitSet,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA,2.0,2.0,added in V2.0,,
eng,academ,Academic institution organization type,The category of organization type used for academic institutions or research groups.,NA,2.0,2.0,added in V2.0,,
eng,acti,Number of active cases,Number of active cases.,NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,active,Active,Indicator to say that a part is in current use in the model. See partID = status,NA,2.0,2.0,added in V2.0,,
eng,aDate,Analysis date,Date the measurement was performed in the lab.,NA,1.0,2.0,added in V2.0,,
eng,measureRepID,Report ID,Unique identifier for a measurement.,Report IDs cannot be repeated.,1.0,2.0,added in V2.0,,
eng,parSampID,Parent sample ID,If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.,NA,1.1,2.0,added in V2.0,,
eng,protocolIDContainer,Protocol ID Container,Unique identifier for the protocol and the steps and other protocols that make it up.,Protocol ID Container in popuated by a protocolID (partID = protocolID),2.0,2.0,added in V2.0,,
eng,instID,Instrument ID,A unique identifier for an instrument.,NA,1.1,2.0,"description wording, structure",,
eng,addresses,Address Table,"The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.",adapt from verson 1 documentation,2.0,2.0,NA,,
eng,parSiteID,Parent Site ID,The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.,"An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.",2.0,2.0,added in V2.0,,
eng,afu,Air filtration unit,Air filtration or circulating unit.,Typically the unit would have a fan or blower.,2.0,2.0,added in V2.0,,
eng,aggregation,Aggregations,Statistical measures used to report a measure. Each dataType that is a number should be reported with an aggregation.,NA,2.0,2.0,added in V2.0,,
eng,sampleID,Sample ID,Unique identifier for a sample.,Suggestion:siteID-date-index.,1.1,2.0,"description wording, structure",,
eng,addressesOrder,Addresses table column order,Specifies the order of the columns in the Addresses table.,NA,2.0,2.0,added in V2.0,,
eng,addressesRequired,Requirements of addresses table,Specifies the columns required in a Addresses table.,NA,2.0,2.0,added in V2.0,,
eng,ai,Inhibition present but addressed,"The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.",NA,2.0,2.0,added in V2.0,,
eng,contID,Contact ID,A unique identifier for a given contact person.,NA,2.0,2.0,added in V2.0,,
eng,extractCatSet,Nucleic Acid Extraction CatSetegory Set,CatSetegory set used for storing all the valid category values for the nucleic acid extraction method.,NA,2.0,2.0,added in V2.0,,
eng,airTemp,Environmental Temperature,Environmental temperature.,NA,1.0,2.0,"description wording, structure",,
eng,fractionCatSet,Sample fraction category set,"CatSetegory set for the fraction of the sample (solid, liquid, etc.).",NA,2.0,2.0,added in V2.0,,
eng,alias,Alias,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead.",1.0,2.0,depreciated,,
eng,aliasID,Alias ID,Alias id,ID of an assay that is the same or similar. a comma separated list.,1.0,2.0,depreciated,,
eng,allDo,All domains,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA,2.0,2.0,added in V2.0,,
eng,allele,Alleles class,Specifies a collection of measures/methods related to alleles.,NA,2.0,2.0,added in V2.0,,
eng,allOrgs,Access to all org,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA,1.0,2.0,depreciated,,
eng,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA,2.0,2.0,added in V2.0,,
eng,amDef,Assay method id default,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,depreciated,,
eng,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA,2.0,2.0,added in V2.0,,
eng,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,2.0,2.0,added in V2.0,,
eng,geoTypeCatSet,Geographic category set,CatSetegory set for different type of geographic components.,NA,2.0,2.0,added in V2.0,,
eng,areaPr,Area proportional sample,An area proportional sample.,Used for surface testing.,2.0,2.0,added in V2.0,,
eng,articV3,Use of the articV3 primer,Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.,NA,2.0,2.0,added in V2.0,,
eng,articV4,Use of the articV4 primer,Artic V4 sequencing primer for VOCs and VOIs.,NA,2.0,2.0,added in V2.0,,
eng,asId,Assay ID,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead.",1.0,2.0,depreciated,,
eng,attribute,Attributes,"An attribute of a domain, specimen, compartment, or reportTable.",Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.,2.0,2.0,added in V2.0,,
eng,b,Trace levels of contamination,Analytical result may be subject to “trace” levels of contamination; the target analyte was also detected in negative controls on the same run as the sample.,NA,2.0,2.0,added in V2.0,,
eng,bacterialUnitSet,Bacteria unit set,Unit set for bacteria-related measurements.,NA,2.0,2.0,added in V2.0,,
eng,bactMisc,Miscellaneous bacteria group,A group of measures/methods related to miscellaneous bacteria.,"The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions.",2.0,2.0,added in V2.0,,
eng,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA,2.0,2.0,added in V2.0,,
eng,bcov,bcov,Measure of the amount of bovine coronavirus.,NA,2.0,2.0,added in V2.0,,
eng,bcovCul,bcov culture Spike Target,Cultured bovine coronavirus is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,bcovVac,bcov vaccine Spike Target,The bovine coronavirus vaccine is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,beeExtractFloc,Beef extract flocculation,Beef extract flocculation.,NA,2.0,2.0,added in V2.0,,
eng,beta,Beta,B.1.351,NA,2.0,2.0,added in V2.0,,
eng,bio,Biologic,A living organism or biological substance.,NA,2.0,2.0,added in V2.0,,
