item,versionStart,versionEnd,tableName,variableName,is_excluded,shared_with_Public,shared_with_PHAC,shared_with_Local_HA,shared_with_Prov_HA,shared_with_Quebec_site,shared_with_Ontario_WSI,shared_with_Canadian_WWS_database,lower_range_Public,upper_range_Public,lower_range_PHAC,upper_range_PHAC,lower_range_Local,upper_range_Local,lower_range_Prov,upper_range_Prov,lower_range_Quebec,upper_range_Quebec,lower_range_Ontario_WSI,upper_range_Ontario_WSI,lower_range_Can_WWDB,upper_range_Can_WWDB,description_Public,description_PHAC,description_Local,description_Prov,description_WSI,description_Can_WWDB
variables,1.1,1.2,Site,siteID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,name,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,description,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,typeOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,healthRegion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,publicHealthDepartment ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,geoLat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,geoLong,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Site,notes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,reporterID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,contactName,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,contactEmail,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,contactPhone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,contactPhoneExt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Reporter,notes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,labID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,name,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,contactName,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,contactEmail,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,contactPhone,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,contactPhoneExt,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Lab,updateDate,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,instrumentID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,name,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,model,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,description,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,referenceLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Instrument,typeOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,assayMethodID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,instrumentID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,name,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,version,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,summary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,referenceLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,date,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,sampleSizeL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,loq,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,lod,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,unit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,AssayMethod,unitOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,sampleID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,siteID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,dateTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,dateTimeStart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,dateTimeEnd,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,sizeL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,fieldSampleTempC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,shippedOnIce,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,Sample,notes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,uWwMeasureID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,sampleID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,labID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,assayMethodID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,instrumentID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,reporterID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,analysisDate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2021-01-25,2021-01-25,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,reportDate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2021-01-26,2021-01-26,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,fractionAnalyzed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,typeOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,unit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,unitOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,index,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,value,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22000,85000,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,qualityFlag,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,WWMeasure,notes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,uSiteMeasureID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,siteID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,sampleID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,reporterID,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,dateTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,typeOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,typeDescription,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,aggregation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,aggregationOther,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,aggregationDesc,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,value,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,unit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
variables,1.1,1.2,SiteMeasure,notes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,null,null,null,null,null,null
