Current NML,Report Status (ALL RESULTS ARE RUO),Date Collected,Date Received,Report Date,Submitting ID (City-WWTP),ENT_ID,City,PV,"CT (CDC, N1, N2)","Protocol, Sequencing Platform",Nextclade  (consensus),Pangolin  (consensus),% Breadth of coverage               (≥ 5x depth),Average depth of coverage,VOC Detected (consensus),Number of VOC mutations   (consensus), Frequencies of reads with VOC mutation  (consensus),Important Mutations associated with  other VOCs or VOIs   (subconsensus),Number of mutations supporting presence of additional VOC  (subconsensus),Comments (subconsensus),Clinical cases,Interpretation
ODM Wide,,Sample_dateTime,WWM_receivedDate,WWM_reportDate,SMP_siteID,SMP_sampleID,SIT_municipality,Site_provState,"WWM_varAllele_N1_Ct_single_value, WWM_varAllele_N2_Ct_single_value","ASM_name, ASM_instrumentID",WWM_varConsensus_nextclade201d501YpV1_coverage_detected_value,WWM_vocConsensus_pangolinBp1p1p7_coverage_detected_value,WWM_vocCoverage_percent_value,WWM_vocCoverage_depth_value,WWM_vocConsensusDetected_Pangolin_name,"WWM_vocMutationsAssessed, WWM_vocMutationsFound","WWM_vocConsensusMutation_reads_mean_value, WWM_vocConsensusMutation_reads_sd_value",WWM_vocSubconImpMutation_name,"WWM_vocSubconNMutation_name, value",WWM_vocSubconComments,WWW_vocClinicalNotes,WWW_vocInterpret
ODM schema,,table_descColumn,table_descColumn,table_descColumn,table_descColumn,table_descColumn,table_descColumn,table_descColumn,table_type_subType_unit_aggreation_value,Table_descColumn,Table_type_subtype_unit_aggreation_value,Table_type_subtype_unit_aggregation_value,Table_type_name,Table_type_value,Table_type_,,Table_type_unit_aggregation_value,,,,,
ODM Wide alternative,,,,,,,,,,,WWM_varConsensus_1_subyypeNextclade_coverage_detected_name,WWM_varConsenseus_1_subtypePangolin_coverage_detected_name,,,,,,,,,,
ODM schema alternative,,,,,,,,,,,Table_type_indexSubtype_subtype_unit_aggreation_name,Table_type_indexSubtype_subtype_unit_aggreation_name,,,,,,,,,,
ODM nickname,,,,,,,,,,,WWM_consensus_1_nextclade_detected,WWM_consensus_1_pangolin_detected,,,,,,,,,,
ODM notes,,,To be added,,,,To be added,To be added,,,,,,,,,,,,,,
NML value,NEW,2021-04-25,2021-04-30,13-May-21,Ottawa April 25th 2021,21-OTT17-Ott,Ottawa,ON,"33.2, 32.7","ArticV3, Illumina",20I/501Y.V1,B.1.1.7,92.66%,2132.31x,B.1.1.7,17/17,Avg: 0.876 ( 0.357-1),"B.1.617.1: Orf3a: S26L (high-med). B.1.617.2: Orf3a: S26L, M: I82T (low), N:D63G (high) B.1.617.3: N:P67S (high-med)",B.1.617+ = 4,"insufficient evidence of additional VOCs, VOIs",May 5: Ottawa reports 1st 3 B.1.617 cases,
ODM value,,,,,,,,,,,1,1,,,,,,,,,,
ODM value 2,,,,,,,,,,,20I/501Y.V1,B.1.1.7,,,,,,,,,,
