measureClassID,descriptionEN,descriptionFR
allele,Genome region that encodes instructions for a given protein,Région du code génétique qui encode une protéine.
speciesVariant,Subspecies of an organism emerging from as a result of several genetic mutations,Sous-espèce qui émerge après une mutation.
stdConcentration,Concentration that can be expressed in units of mass per volume or mass,Concentration pouvant être exprimée en unités de masse par volume ou masse.
ufcConcentration,Concentration of colony forming units per volume ,Concentration exprimée en unités formatrices de colonies par volume.
geneMutation,Change in a genetic sequence relative to that of a baseline organism,Changement dans une séquence génétique en comparaison avec un organisme de référence.
temperature,Temperature of an object.,Température d’un object.
phMeasurement,pH of a substance.,pH of a substance.
conductivity,Measurement of the ability of a substance to carry electric current,Habilité d’une substance à transmettre un courant électrique.
volumeFlow,Rate of transfer of a volume of substance in or out of a control volume,Taux de déplacement d’un volume de substance à l’interface d’un volume de contrôle.
massFlow,Rate of transfer of a mass of substance in or out of a control volume,Taux de déplacement d’une masse de substance à l’interface d’un volume de contrôle.
