measureClassID,unitID
allele,gcMl
allele,ct
allele,detected
allele,gcGcPmmoV
allele,gcGSld
allele,gcGcCrA
allele,pctPos
speciesVariant,gcMl
speciesVariant,detected
speciesVariant,pctPos
speciesVariant,pctPrp
speciesVariant,gcGSld
speciesVariant,gcGcCrA
speciesVariant,pctPos
geneMutation,gcMl
geneMutation,detected
geneMutation,pctPos
geneMutation,pctPrp
geneMutation,gcGSld
geneMutation,gcGcCrA
geneMutation,pctPos
stdConcentration,mgL
stdConcentration,ppm
stdConcentration,pctSld
cfuConcentration,cfu100Ml
temperature,degC
pHMeasurement,ph
conductivity,uSCm
volumeFlow,m3S
massFlow,kgS
