specimenID,measureID
wwSampleMeasure,wqCOD
wwSiteMeasure,wqCOD
wwSampleMeasure,wqEcoli
wwSampleMeasure,covB117
population,covB117
patient,covB117
wwSampleMeasure,covB1351
population,covB1351
patient,covB1351
wwSampleMeasure,covP1
population,covP1
patient,covP1
wwSiteMeasure,wqFlow
wwSampleMeasure,covN1
population,covN1
patient,covN1
wwSampleMeasure,covN2
population,covN2
patient,covN2
wwSampleMeasure,covN3
population,covN3
patient,covN3
wwSampleMeasure,covE
population,covE
patient,covE
wwSampleMeasure,covRdrp
population,covRdrp
patient,covRdrp
wwSampleMeasure,pmmovCp
population,pmmovCp
patient,pmmovCp
wwSampleMeasure,crA
population,crA
patient,crA
wwSampleMeasure,brsvN
population,brsvN
patient,brsvN
wwSampleMeasure,wqTS
wwSiteMeasure,wqTS
wwSampleMeasure,wqTSS
wwSiteMeasure,wqTSS
wwSampleMeasure,wqVSS
wwSiteMeasure,wqVSS
wwSampleMeasure,wqOPhos
wwSiteMeasure,wqOPhos
wwSampleMeasure,wqNH4N
wwSiteMeasure,wqNH4N
wwSampleMeasure,wqTN
wwSiteMeasure,wqTN
wwSampleMeasure,wqPh
wwSiteMeasure,wqPh
wwSampleMeasure,wqCond
wwSiteMeasure,wqCond
wwSampleMeasure,wqTemp
wwSiteMeasure,wqTemp
