fromTable,fromColumn,toColumn
All,Sample.ID,Sample_sampleID
All,Location,Site_siteID
All,Region,Site_description
All,Date.sampled,Sample_dateTime
All,Date.received,WWMeasure_analysisDate
All,Arrival.temp,WWMeasure_temp_c_single
All,SpotSee.Freeze,WWMeasure_frozen_bool_single
All,SpotSee.Warm,WWMeasure_warm_bool_single
All,Sample.Condition,WWMeasure_notes
All,Water_qPCR_date,WWMeasure_analysisDate
All,N1_1.cp.mL,WWMeasure_covN1_gcMl_single_1
All,N1_2.cp.mL,WWMeasure_covN1_gcMl_single_2
All,Avg_N1.cp.mL,NA
All,N2_1.cp.mL,WWMeasure_covN2_gcMl_single_1
All,N2_2.cp.mL,WWMeasure_covN2_gcMl_single_2
All,Avg_N2.cp.mL,NA
All,PMMV_1.cp.mL,WWMeasure_nPMMoV_gcMl_single_1
All,PMMV_2.cp.mL,WWMeasure_nPMMoV_gcMl_single_2
All,Avg_PMMV.cp.mL,NA
All,Solids_qPCR_date,WWMeasure_analysisDate
All,Solids_Measurement_Notes,WWMeasure_notes
All,Solids_N1_1.cp.mL,WWMeasure_Solids_covN1_gcMl_single_1
All,Solids_N1_2.cp.mL,WWMeasure_Solids_covN1_gcMl_single_2
All,Avg_Solids_N1.cp.mL,NA
All,Solids_N2_1.cp.mL,WWMeasure_Solids_covN2_gcMl_single_1
All,Solids_N2_2.cp.mL,WWMeasure_Solids_covN2_gcMl_single_2
All,Avg_Solids_N2.cp.mL,NA
All,Avg_Solids_MHV.cp.mL,NA
All,Solids_PMMV_1.cp.mL,WWMeasure_Solids_nPMMoV_gcMl_single_1
All,Solids_PMMV_2.cp.mL,WWMeasure_Solids_nPMMoV_gcMl_single_2
All,Avg_Solids_PMMV.cp.mL,NA
All,muni,NA
All,sample,NA
All,col2frdg,NA
All,coldate,NA
All,comments,Sample_notes
All,dinflvol,SiteMeasure_wwFlow_single_MLd
All,infltemp,SiteMeasure_wwTemp_single_c
All,ph,SiteMeasure_wwpH_single_ph
All,rain_t,NA
All,rain_y,NA
All,temp,NA
All,tss,SiteMeasure_wwTSS_single_mgl
